n:118 mse_avg:638.03 mse_y:913.24 mse_u:78.73 mse_v:96.48 psnr_avg:20.08 psnr_y:18.52 psnr_u:29.17 psnr_v:28.29 
n:119 mse_avg:624.02 mse_y:893.29 mse_u:77.34 mse_v:93.65 psnr_avg:20.18 psnr_y:18.62 psnr_u:29.25 psnr_v:28.42 
n:120 mse_avg:610.84 mse_y:873.77 mse_u:76.94 mse_v:93.00 psnr_avg:20.27 psnr_y:18.72 psnr_u:29.27 psnr_v:28.45 
n:121 mse_avg:601.70 mse_y:860.25 mse_u:76.05 mse_v:93.16 psnr_avg:20.34 psnr_y:18.78 psnr_u:29.32 psnr_v:28.44 
n:122 mse_avg:608.70 mse_y:870.34 mse_u:77.46 mse_v:93.36 psnr_avg:20.29 psnr_y:18.73 psnr_u:29.24 psnr_v:28.43 
n:123 mse_avg:611.77 mse_y:875.10 mse_u:78.93 mse_v:91.28 psnr_avg:20.26 psnr_y:18.71 psnr_u:29.16 psnr_v:28.53 
n:124 mse_avg:610.85 mse_y:872.90 mse_u:80.48 mse_v:93.03 psnr_avg:20.27 psnr_y:18.72 psnr_u:29.07 psnr_v:28.44 
n:125 mse_avg:599.21 mse_y:856.81 mse_u:78.46 mse_v:89.58 psnr_avg:20.35 psnr_y:18.80 psnr_u:29.18 psnr_v:28.61 
n:126 mse_avg:602.79 mse_y:862.14 mse_u:76.90 mse_v:91.28 psnr_avg:20.33 psnr_y:18.78 psnr_u:29.27 psnr_v:28.53 
n:127 mse_avg:617.99 mse_y:884.94 mse_u:77.47 mse_v:90.75 psnr_avg:20.22 psnr_y:18.66 psnr_u:29.24 psnr_v:28.55 
n:128 mse_avg:618.73 mse_y:885.52 mse_u:78.83 mse_v:91.49 psnr_avg:20.22 psnr_y:18.66 psnr_u:29.16 psnr_v:28.52 
n:129 mse_avg:602.33 mse_y:860.98 mse_u:78.39 mse_v:91.67 psnr_avg:20.33 psnr_y:18.78 psnr_u:29.19 psnr_v:28.51 
n:130 mse_avg:612.27 mse_y:875.91 mse_u:77.48 mse_v:92.49 psnr_avg:20.26 psnr_y:18.71 psnr_u:29.24 psnr_v:28.47 
n:131 mse_avg:606.95 mse_y:868.21 mse_u:78.43 mse_v:90.44 psnr_avg:20.30 psnr_y:18.74 psnr_u:29.19 psnr_v:28.57 
n:132 mse_avg:607.02 mse_y:868.40 mse_u:78.63 mse_v:89.92 psnr_avg:20.30 psnr_y:18.74 psnr_u:29.18 psnr_v:28.59 
n:133 mse_avg:601.44 mse_y:860.11 mse_u:77.98 mse_v:90.25 psnr_avg:20.34 psnr_y:18.79 psnr_u:29.21 psnr_v:28.58 
n:134 mse_avg:614.85 mse_y:879.53 mse_u:78.55 mse_v:92.40 psnr_avg:20.24 psnr_y:18.69 psnr_u:29.18 psnr_v:28.47 
n:135 mse_avg:619.13 mse_y:885.83 mse_u:78.97 mse_v:92.50 psnr_avg:20.21 psnr_y:18.66 psnr_u:29.16 psnr_v:28.47 
n:136 mse_avg:620.04 mse_y:886.54 mse_u:81.04 mse_v:93.09 psnr_avg:20.21 psnr_y:18.65 psnr_u:29.04 psnr_v:28.44 
n:137 mse_avg:614.02 mse_y:878.24 mse_u:79.22 mse_v:91.95 psnr_avg:20.25 psnr_y:18.69 psnr_u:29.14 psnr_v:28.50 
n:138 mse_avg:614.59 mse_y:878.93 mse_u:79.34 mse_v:92.46 psnr_avg:20.24 psnr_y:18.69 psnr_u:29.14 psnr_v:28.47 
n:139 mse_avg:636.93 mse_y:911.33 mse_u:80.51 mse_v:95.72 psnr_avg:20.09 psnr_y:18.53 psnr_u:29.07 psnr_v:28.32 
n:140 mse_avg:621.43 mse_y:888.29 mse_u:81.54 mse_v:93.86 psnr_avg:20.20 psnr_y:18.65 psnr_u:29.02 psnr_v:28.41 
n:141 mse_avg:616.67 mse_y:882.08 mse_u:79.33 mse_v:92.38 psnr_avg:20.23 psnr_y:18.68 psnr_u:29.14 psnr_v:28.48 
n:142 mse_avg:618.35 mse_y:884.28 mse_u:80.74 mse_v:92.21 psnr_avg:20.22 psnr_y:18.66 psnr_u:29.06 psnr_v:28.48 
n:143 mse_avg:618.07 mse_y:883.82 mse_u:81.13 mse_v:92.03 psnr_avg:20.22 psnr_y:18.67 psnr_u:29.04 psnr_v:28.49 
