n:102 mse_avg:1.20 mse_y:1.46 mse_u:0.72 mse_v:0.64 psnr_avg:47.35 psnr_y:46.50 psnr_u:49.57 psnr_v:50.07 
n:103 mse_avg:1.22 mse_y:1.49 mse_u:0.73 mse_v:0.64 psnr_avg:47.25 psnr_y:46.39 psnr_u:49.50 psnr_v:50.08 
n:104 mse_avg:1.22 mse_y:1.49 mse_u:0.72 mse_v:0.66 psnr_avg:47.26 psnr_y:46.40 psnr_u:49.56 psnr_v:49.91 
n:105 mse_avg:0.89 mse_y:1.01 mse_u:0.65 mse_v:0.62 psnr_avg:48.65 psnr_y:48.07 psnr_u:49.97 psnr_v:50.24 
n:106 mse_avg:1.23 mse_y:1.51 mse_u:0.72 mse_v:0.65 psnr_avg:47.22 psnr_y:46.34 psnr_u:49.55 psnr_v:50.03 
n:107 mse_avg:1.15 mse_y:1.38 mse_u:0.73 mse_v:0.64 psnr_avg:47.53 psnr_y:46.74 psnr_u:49.47 psnr_v:50.06 
n:108 mse_avg:1.18 mse_y:1.44 mse_u:0.73 mse_v:0.61 psnr_avg:47.40 psnr_y:46.54 psnr_u:49.51 psnr_v:50.30 
n:109 mse_avg:0.80 mse_y:0.91 mse_u:0.62 mse_v:0.55 psnr_avg:49.09 psnr_y:48.55 psnr_u:50.17 psnr_v:50.73 
n:110 mse_avg:1.12 mse_y:1.34 mse_u:0.71 mse_v:0.62 psnr_avg:47.65 psnr_y:46.84 psnr_u:49.62 psnr_v:50.22 
n:111 mse_avg:1.12 mse_y:1.34 mse_u:0.73 mse_v:0.64 psnr_avg:47.64 psnr_y:46.87 psnr_u:49.47 psnr_v:50.09 
n:112 mse_avg:1.13 mse_y:1.37 mse_u:0.70 mse_v:0.62 psnr_avg:47.59 psnr_y:46.77 psnr_u:49.68 psnr_v:50.21 
n:113 mse_avg:0.78 mse_y:0.87 mse_u:0.61 mse_v:0.55 psnr_avg:49.24 psnr_y:48.72 psnr_u:50.29 psnr_v:50.74 
n:114 mse_avg:1.12 mse_y:1.36 mse_u:0.68 mse_v:0.59 psnr_avg:47.65 psnr_y:46.81 psnr_u:49.80 psnr_v:50.42 
n:115 mse_avg:1.10 mse_y:1.34 mse_u:0.67 mse_v:0.58 psnr_avg:47.70 psnr_y:46.85 psnr_u:49.85 psnr_v:50.48 
n:116 mse_avg:1.13 mse_y:1.38 mse_u:0.67 mse_v:0.60 psnr_avg:47.61 psnr_y:46.74 psnr_u:49.90 psnr_v:50.37 
n:117 mse_avg:0.80 mse_y:0.91 mse_u:0.61 mse_v:0.56 psnr_avg:49.10 psnr_y:48.55 psnr_u:50.28 psnr_v:50.67 
n:118 mse_avg:1.04 mse_y:1.26 mse_u:0.65 mse_v:0.58 psnr_avg:47.94 psnr_y:47.13 psnr_u:50.03 psnr_v:50.48 
n:119 mse_avg:1.04 mse_y:1.25 mse_u:0.66 mse_v:0.58 psnr_avg:47.97 psnr_y:47.17 psnr_u:49.94 psnr_v:50.50 
n:120 mse_avg:1.04 mse_y:1.26 mse_u:0.65 mse_v:0.58 psnr_avg:47.94 psnr_y:47.13 psnr_u:49.99 psnr_v:50.50 
n:121 mse_avg:0.82 mse_y:0.94 mse_u:0.61 mse_v:0.56 psnr_avg:48.99 psnr_y:48.41 psnr_u:50.26 psnr_v:50.66 
n:122 mse_avg:1.04 mse_y:1.25 mse_u:0.63 mse_v:0.59 psnr_avg:47.96 psnr_y:47.15 psnr_u:50.11 psnr_v:50.41 
n:123 mse_avg:1.05 mse_y:1.26 mse_u:0.64 mse_v:0.59 psnr_avg:47.93 psnr_y:47.12 psnr_u:50.04 psnr_v:50.44 
n:124 mse_avg:1.11 mse_y:1.35 mse_u:0.64 mse_v:0.61 psnr_avg:47.69 psnr_y:46.84 psnr_u:50.04 psnr_v:50.31 
n:125 mse_avg:0.80 mse_y:0.91 mse_u:0.61 mse_v:0.55 psnr_avg:49.11 psnr_y:48.55 psnr_u:50.27 psnr_v:50.71 
n:126 mse_avg:1.06 mse_y:1.28 mse_u:0.65 mse_v:0.59 psnr_avg:47.87 psnr_y:47.05 psnr_u:50.01 psnr_v:50.41 
n:127 mse_avg:1.01 mse_y:1.21 mse_u:0.64 mse_v:0.59 psnr_avg:48.08 psnr_y:47.30 psnr_u:50.08 psnr_v:50.44 
n:128 mse_avg:1.05 mse_y:1.27 mse_u:0.65 mse_v:0.59 psnr_avg:47.90 psnr_y:47.09 psnr_u:49.97 psnr_v:50.40 
n:129 mse_avg:0.79 mse_y:0.89 mse_u:0.61 mse_v:0.55 psnr_avg:49.17 psnr_y:48.64 psnr_u:50.27 psnr_v:50.71 
n:130 mse_avg:1.07 mse_y:1.30 mse_u:0.64 mse_v:0.58 psnr_avg:47.83 psnr_y:46.99 psnr_u:50.04 psnr_v:50.49 
n:131 mse_avg:1.04 mse_y:1.25 mse_u:0.66 mse_v:0.59 psnr_avg:47.95 psnr_y:47.16 psnr_u:49.92 psnr_v:50.45 
n:132 mse_avg:1.10 mse_y:1.33 mse_u:0.65 mse_v:0.59 psnr_avg:47.73 psnr_y:46.88 psnr_u:50.02 psnr_v:50.45 
n:133 mse_avg:0.77 mse_y:0.88 mse_u:0.58 mse_v:0.54 psnr_avg:49.24 psnr_y:48.67 psnr_u:50.53 psnr_v:50.80 
n:134 mse_avg:1.16 mse_y:1.43 mse_u:0.65 mse_v:0.60 psnr_avg:47.48 psnr_y:46.57 psnr_u:49.97 psnr_v:50.38 
n:135 mse_avg:1.06 mse_y:1.28 mse_u:0.67 mse_v:0.59 psnr_avg:47.86 psnr_y:47.06 psnr_u:49.86 psnr_v:50.40 
n:136 mse_avg:1.17 mse_y:1.44 mse_u:0.67 mse_v:0.60 psnr_avg:47.44 psnr_y:46.54 psnr_u:49.88 psnr_v:50.33 
n:137 mse_avg:0.76 mse_y:0.85 mse_u:0.59 mse_v:0.55 psnr_avg:49.33 psnr_y:48.81 psnr_u:50.44 psnr_v:50.76 
n:138 mse_avg:1.22 mse_y:1.50 mse_u:0.68 mse_v:0.61 psnr_avg:47.27 psnr_y:46.36 psnr_u:49.78 psnr_v:50.25 
n:139 mse_avg:1.17 mse_y:1.43 mse_u:0.70 mse_v:0.58 psnr_avg:47.46 psnr_y:46.57 psnr_u:49.69 psnr_v:50.47 
n:140 mse_avg:1.18 mse_y:1.46 mse_u:0.68 mse_v:0.59 psnr_avg:47.40 psnr_y:46.50 psnr_u:49.80 psnr_v:50.43 
n:141 mse_avg:0.75 mse_y:0.85 mse_u:0.58 mse_v:0.52 psnr_avg:49.36 psnr_y:48.82 psnr_u:50.47 psnr_v:50.94 
n:142 mse_avg:1.09 mse_y:1.33 mse_u:0.64 mse_v:0.57 psnr_avg:47.77 psnr_y:46.90 psnr_u:50.05 psnr_v:50.58 
n:143 mse_avg:1.06 mse_y:1.28 mse_u:0.66 mse_v:0.56 psnr_avg:47.88 psnr_y:47.05 psnr_u:49.94 psnr_v:50.62 
n:144 mse_avg:1.07 mse_y:1.30 mse_u:0.65 mse_v:0.56 psnr_avg:47.85 psnr_y:47.00 psnr_u:50.03 psnr_v:50.64 
n:145 mse_avg:0.76 mse_y:0.86 mse_u:0.59 mse_v:0.52 psnr_avg:49.32 psnr_y:48.78 psnr_u:50.39 psnr_v:50.96 
n:146 mse_avg:1.08 mse_y:1.31 mse_u:0.66 mse_v:0.57 psnr_avg:47.80 psnr_y:46.95 psnr_u:49.96 psnr_v:50.56 
n:147 mse_avg:1.04 mse_y:1.26 mse_u:0.64 mse_v:0.58 psnr_avg:47.95 psnr_y:47.13 psnr_u:50.07 psnr_v:50.50 
n:148 mse_avg:1.07 mse_y:1.30 mse_u:0.64 mse_v:0.57 psnr_avg:47.84 psnr_y:46.98 psnr_u:50.09 psnr_v:50.57 
n:149 mse_avg:0.77 mse_y:0.87 mse_u:0.59 mse_v:0.54 psnr_avg:49.29 psnr_y:48.76 psnr_u:50.45 psnr_v:50.81 
n:150 mse_avg:1.13 mse_y:1.38 mse_u:0.64 mse_v:0.59 psnr_avg:47.62 psnr_y:46.72 psnr_u:50.10 psnr_v:50.46 
n:151 mse_avg:1.08 mse_y:1.31 mse_u:0.64 mse_v:0.59 psnr_avg:47.81 psnr_y:46.97 psnr_u:50.06 psnr_v:50.40 
n:152 mse_avg:1.11 mse_y:1.35 mse_u:0.64 mse_v:0.61 psnr_avg:47.67 psnr_y:46.81 psnr_u:50.05 psnr_v:50.25 
n:153 mse_avg:0.79 mse_y:0.90 mse_u:0.59 mse_v:0.55 psnr_avg:49.16 psnr_y:48.60 psnr_u:50.42 psnr_v:50.72 
n:154 mse_avg:1.06 mse_y:1.29 mse_u:0.63 mse_v:0.56 psnr_avg:47.89 psnr_y:47.04 psnr_u:50.16 psnr_v:50.63 
n:155 mse_avg:0.77 mse_y:0.88 mse_u:0.58 mse_v:0.53 psnr_avg:49.26 psnr_y:48.70 psnr_u:50.47 psnr_v:50.89 
n:156 mse_avg:1.18 mse_y:1.45 mse_u:0.67 mse_v:0.61 psnr_avg:47.41 psnr_y:46.51 psnr_u:49.90 psnr_v:50.28 
n:157 mse_avg:1.09 mse_y:1.32 mse_u:0.67 mse_v:0.60 psnr_avg:47.76 psnr_y:46.93 psnr_u:49.86 psnr_v:50.36 
n:158 mse_avg:1.17 mse_y:1.44 mse_u:0.67 mse_v:0.61 psnr_avg:47.43 psnr_y:46.54 psnr_u:49.87 psnr_v:50.29 
n:159 mse_avg:0.74 mse_y:0.84 mse_u:0.57 mse_v:0.52 psnr_avg:49.41 psnr_y:48.87 psnr_u:50.55 psnr_v:50.95 
n:160 mse_avg:1.14 mse_y:1.40 mse_u:0.65 mse_v:0.59 psnr_avg:47.57 psnr_y:46.68 psnr_u:50.02 psnr_v:50.40 
n:161 mse_avg:1.06 mse_y:1.29 mse_u:0.65 mse_v:0.58 psnr_avg:47.87 psnr_y:47.04 psnr_u:50.03 psnr_v:50.49 
n:162 mse_avg:1.12 mse_y:1.38 mse_u:0.64 mse_v:0.58 psnr_avg:47.63 psnr_y:46.73 psnr_u:50.09 psnr_v:50.49 
n:163 mse_avg:0.71 mse_y:0.80 mse_u:0.55 mse_v:0.51 psnr_avg:49.64 psnr_y:49.12 psnr_u:50.69 psnr_v:51.09 
n:164 mse_avg:1.05 mse_y:1.28 mse_u:0.61 mse_v:0.56 psnr_avg:47.92 psnr_y:47.06 psnr_u:50.26 psnr_v:50.62 
n:165 mse_avg:1.06 mse_y:1.30 mse_u:0.61 mse_v:0.56 psnr_avg:47.86 psnr_y:46.98 psnr_u:50.28 psnr_v:50.66 
n:166 mse_avg:1.07 mse_y:1.31 mse_u:0.61 mse_v:0.56 psnr_avg:47.85 psnr_y:46.96 psnr_u:50.30 psnr_v:50.68 
n:167 mse_avg:0.71 mse_y:0.80 mse_u:0.55 mse_v:0.52 psnr_avg:49.61 psnr_y:49.10 psnr_u:50.74 psnr_v:50.99 
n:168 mse_avg:0.96 mse_y:1.16 mse_u:0.59 mse_v:0.54 psnr_avg:48.32 psnr_y:47.50 psnr_u:50.42 psnr_v:50.82 
