n:79 mse_avg:70.34 mse_y:102.65 mse_u:6.36 mse_v:5.07 psnr_avg:29.66 psnr_y:28.02 psnr_u:40.09 psnr_v:41.08 
n:80 mse_avg:46.09 mse_y:66.35 mse_u:6.12 mse_v:5.01 psnr_avg:31.50 psnr_y:29.91 psnr_u:40.26 psnr_v:41.13 
n:81 mse_avg:53.72 mse_y:77.77 mse_u:6.20 mse_v:5.01 psnr_avg:30.83 psnr_y:29.22 psnr_u:40.21 psnr_v:41.13 
n:82 mse_avg:55.37 mse_y:80.23 mse_u:6.25 mse_v:5.04 psnr_avg:30.70 psnr_y:29.09 psnr_u:40.17 psnr_v:41.11 
n:83 mse_avg:56.18 mse_y:81.45 mse_u:6.30 mse_v:5.00 psnr_avg:30.63 psnr_y:29.02 psnr_u:40.14 psnr_v:41.14 
n:84 mse_avg:56.76 mse_y:82.33 mse_u:6.29 mse_v:4.95 psnr_avg:30.59 psnr_y:28.98 psnr_u:40.14 psnr_v:41.19 
n:85 mse_avg:56.33 mse_y:81.66 mse_u:6.30 mse_v:5.02 psnr_avg:30.62 psnr_y:29.01 psnr_u:40.14 psnr_v:41.12 
n:86 mse_avg:52.44 mse_y:75.89 mse_u:6.17 mse_v:4.89 psnr_avg:30.93 psnr_y:29.33 psnr_u:40.23 psnr_v:41.23 
n:87 mse_avg:31.38 mse_y:44.45 mse_u:5.87 mse_v:4.64 psnr_avg:33.16 psnr_y:31.65 psnr_u:40.44 psnr_v:41.47 
n:88 mse_avg:49.37 mse_y:71.30 mse_u:6.20 mse_v:4.82 psnr_avg:31.20 psnr_y:29.60 psnr_u:40.20 psnr_v:41.30 
n:89 mse_avg:51.73 mse_y:74.84 mse_u:6.14 mse_v:4.90 psnr_avg:30.99 psnr_y:29.39 psnr_u:40.25 psnr_v:41.23 
n:90 mse_avg:56.59 mse_y:82.12 mse_u:6.15 mse_v:4.87 psnr_avg:30.60 psnr_y:28.99 psnr_u:40.24 psnr_v:41.25 
n:91 mse_avg:58.52 mse_y:85.00 mse_u:6.20 mse_v:4.92 psnr_avg:30.46 psnr_y:28.84 psnr_u:40.21 psnr_v:41.21 
n:92 mse_avg:58.95 mse_y:85.65 mse_u:6.24 mse_v:4.87 psnr_avg:30.43 psnr_y:28.80 psnr_u:40.18 psnr_v:41.25 
n:93 mse_avg:62.55 mse_y:90.99 mse_u:6.39 mse_v:4.93 psnr_avg:30.17 psnr_y:28.54 psnr_u:40.07 psnr_v:41.21 
n:94 mse_avg:42.54 mse_y:61.01 mse_u:6.27 mse_v:4.93 psnr_avg:31.84 psnr_y:30.28 psnr_u:40.16 psnr_v:41.20 
n:95 mse_avg:50.97 mse_y:73.62 mse_u:6.35 mse_v:4.97 psnr_avg:31.06 psnr_y:29.46 psnr_u:40.10 psnr_v:41.17 
n:96 mse_avg:50.70 mse_y:73.23 mse_u:6.38 mse_v:4.89 psnr_avg:31.08 psnr_y:29.48 psnr_u:40.08 psnr_v:41.24 
n:97 mse_avg:52.74 mse_y:76.27 mse_u:6.40 mse_v:4.99 psnr_avg:30.91 psnr_y:29.31 psnr_u:40.07 psnr_v:41.15 
n:98 mse_avg:56.55 mse_y:81.96 mse_u:6.46 mse_v:4.99 psnr_avg:30.61 psnr_y:28.99 psnr_u:40.03 psnr_v:41.15 
n:99 mse_avg:56.23 mse_y:81.48 mse_u:6.36 mse_v:5.10 psnr_avg:30.63 psnr_y:29.02 psnr_u:40.10 psnr_v:41.05 
n:100 mse_avg:58.50 mse_y:84.88 mse_u:6.43 mse_v:5.04 psnr_avg:30.46 psnr_y:28.84 psnr_u:40.05 psnr_v:41.11 
n:101 mse_avg:37.54 mse_y:53.49 mse_u:6.35 mse_v:4.93 psnr_avg:32.39 psnr_y:30.85 psnr_u:40.10 psnr_v:41.20 
n:102 mse_avg:46.86 mse_y:67.41 mse_u:6.45 mse_v:5.06 psnr_avg:31.42 psnr_y:29.84 psnr_u:40.04 psnr_v:41.09 
n:103 mse_avg:51.77 mse_y:74.84 mse_u:6.33 mse_v:4.93 psnr_avg:30.99 psnr_y:29.39 psnr_u:40.12 psnr_v:41.20 
n:104 mse_avg:51.69 mse_y:74.75 mse_u:6.27 mse_v:4.87 psnr_avg:31.00 psnr_y:29.39 psnr_u:40.16 psnr_v:41.26 
n:105 mse_avg:50.15 mse_y:72.41 mse_u:6.37 mse_v:4.85 psnr_avg:31.13 psnr_y:29.53 psnr_u:40.09 psnr_v:41.27 
n:106 mse_avg:53.38 mse_y:77.24 mse_u:6.45 mse_v:4.87 psnr_avg:30.86 psnr_y:29.25 psnr_u:40.04 psnr_v:41.26 
n:107 mse_avg:51.99 mse_y:75.18 mse_u:6.36 mse_v:4.84 psnr_avg:30.97 psnr_y:29.37 psnr_u:40.10 psnr_v:41.28 
n:108 mse_avg:31.73 mse_y:44.87 mse_u:6.16 mse_v:4.71 psnr_avg:33.12 psnr_y:31.61 psnr_u:40.24 psnr_v:41.40 
n:109 mse_avg:38.44 mse_y:54.94 mse_u:6.09 mse_v:4.82 psnr_avg:32.28 psnr_y:30.73 psnr_u:40.29 psnr_v:41.30 
n:110 mse_avg:40.50 mse_y:58.01 mse_u:6.15 mse_v:4.79 psnr_avg:32.06 psnr_y:30.50 psnr_u:40.24 psnr_v:41.33 
n:111 mse_avg:42.66 mse_y:61.26 mse_u:6.09 mse_v:4.84 psnr_avg:31.83 psnr_y:30.26 psnr_u:40.29 psnr_v:41.28 
n:112 mse_avg:45.83 mse_y:66.03 mse_u:6.07 mse_v:4.78 psnr_avg:31.52 psnr_y:29.93 psnr_u:40.30 psnr_v:41.33 
n:113 mse_avg:48.54 mse_y:70.07 mse_u:6.21 mse_v:4.75 psnr_avg:31.27 psnr_y:29.68 psnr_u:40.20 psnr_v:41.36 
n:114 mse_avg:49.70 mse_y:71.81 mse_u:6.28 mse_v:4.69 psnr_avg:31.17 psnr_y:29.57 psnr_u:40.15 psnr_v:41.42 
