n:131 mse_avg:2.73 mse_y:3.39 mse_u:1.26 mse_v:1.54 psnr_avg:43.77 psnr_y:42.82 psnr_u:47.14 psnr_v:46.26 
n:132 mse_avg:2.75 mse_y:3.41 mse_u:1.27 mse_v:1.57 psnr_avg:43.74 psnr_y:42.80 psnr_u:47.09 psnr_v:46.16 
n:133 mse_avg:2.85 mse_y:3.55 mse_u:1.29 mse_v:1.60 psnr_avg:43.59 psnr_y:42.63 psnr_u:47.01 psnr_v:46.09 
n:134 mse_avg:2.93 mse_y:3.65 mse_u:1.36 mse_v:1.63 psnr_avg:43.46 psnr_y:42.51 psnr_u:46.78 psnr_v:46.01 
n:135 mse_avg:2.99 mse_y:3.72 mse_u:1.40 mse_v:1.67 psnr_avg:43.37 psnr_y:42.43 psnr_u:46.66 psnr_v:45.91 
n:136 mse_avg:1.67 mse_y:1.99 mse_u:0.94 mse_v:1.12 psnr_avg:45.90 psnr_y:45.13 psnr_u:48.39 psnr_v:47.64 
n:137 mse_avg:2.09 mse_y:2.60 mse_u:0.98 mse_v:1.16 psnr_avg:44.93 psnr_y:43.99 psnr_u:48.20 psnr_v:47.48 
n:138 mse_avg:2.23 mse_y:2.78 mse_u:1.03 mse_v:1.19 psnr_avg:44.66 psnr_y:43.68 psnr_u:48.00 psnr_v:47.38 
n:139 mse_avg:2.34 mse_y:2.94 mse_u:1.06 mse_v:1.23 psnr_avg:44.44 psnr_y:43.45 psnr_u:47.88 psnr_v:47.24 
n:140 mse_avg:2.47 mse_y:3.11 mse_u:1.11 mse_v:1.31 psnr_avg:44.20 psnr_y:43.21 psnr_u:47.69 psnr_v:46.96 
n:141 mse_avg:2.69 mse_y:3.39 mse_u:1.22 mse_v:1.37 psnr_avg:43.84 psnr_y:42.83 psnr_u:47.26 psnr_v:46.77 
n:142 mse_avg:3.39 mse_y:4.37 mse_u:1.37 mse_v:1.48 psnr_avg:42.83 psnr_y:41.72 psnr_u:46.76 psnr_v:46.44 
n:143 mse_avg:3.56 mse_y:4.54 mse_u:1.57 mse_v:1.66 psnr_avg:42.61 psnr_y:41.56 psnr_u:46.17 psnr_v:45.92 
n:144 mse_avg:1.52 mse_y:1.79 mse_u:0.87 mse_v:1.08 psnr_avg:46.32 psnr_y:45.61 psnr_u:48.75 psnr_v:47.78 
n:145 mse_avg:2.49 mse_y:3.19 mse_u:0.98 mse_v:1.20 psnr_avg:44.16 psnr_y:43.09 psnr_u:48.22 psnr_v:47.32 
n:146 mse_avg:2.88 mse_y:3.70 mse_u:1.12 mse_v:1.35 psnr_avg:43.54 psnr_y:42.45 psnr_u:47.63 psnr_v:46.84 
n:147 mse_avg:3.25 mse_y:4.19 mse_u:1.27 mse_v:1.45 psnr_avg:43.02 psnr_y:41.91 psnr_u:47.09 psnr_v:46.51 
n:148 mse_avg:3.37 mse_y:4.33 mse_u:1.36 mse_v:1.54 psnr_avg:42.85 psnr_y:41.76 psnr_u:46.79 psnr_v:46.26 
n:149 mse_avg:2.97 mse_y:3.74 mse_u:1.33 mse_v:1.57 psnr_avg:43.40 psnr_y:42.41 psnr_u:46.90 psnr_v:46.17 
n:150 mse_avg:2.98 mse_y:3.72 mse_u:1.39 mse_v:1.57 psnr_avg:43.40 psnr_y:42.42 psnr_u:46.70 psnr_v:46.18 
n:151 mse_avg:3.01 mse_y:3.76 mse_u:1.41 mse_v:1.59 psnr_avg:43.35 psnr_y:42.38 psnr_u:46.63 psnr_v:46.10 
n:152 mse_avg:3.00 mse_y:3.75 mse_u:1.41 mse_v:1.61 psnr_avg:43.36 psnr_y:42.39 psnr_u:46.64 psnr_v:46.07 
n:153 mse_avg:1.67 mse_y:1.98 mse_u:0.92 mse_v:1.15 psnr_avg:45.91 psnr_y:45.16 psnr_u:48.51 psnr_v:47.52 
n:154 mse_avg:2.09 mse_y:2.61 mse_u:0.93 mse_v:1.17 psnr_avg:44.92 psnr_y:43.96 psnr_u:48.43 psnr_v:47.43 
n:155 mse_avg:2.31 mse_y:2.91 mse_u:0.97 mse_v:1.24 psnr_avg:44.50 psnr_y:43.49 psnr_u:48.27 psnr_v:47.20 
n:156 mse_avg:2.47 mse_y:3.11 mse_u:1.04 mse_v:1.31 psnr_avg:44.21 psnr_y:43.20 psnr_u:47.95 psnr_v:46.95 
n:157 mse_avg:2.55 mse_y:3.24 mse_u:1.06 mse_v:1.32 psnr_avg:44.06 psnr_y:43.03 psnr_u:47.88 psnr_v:46.93 
n:158 mse_avg:2.58 mse_y:3.27 mse_u:1.08 mse_v:1.31 psnr_avg:44.01 psnr_y:42.98 psnr_u:47.80 psnr_v:46.95 
n:159 mse_avg:2.58 mse_y:3.28 mse_u:1.07 mse_v:1.30 psnr_avg:44.01 psnr_y:42.97 psnr_u:47.84 psnr_v:46.99 
n:160 mse_avg:2.69 mse_y:3.43 mse_u:1.09 mse_v:1.33 psnr_avg:43.83 psnr_y:42.77 psnr_u:47.74 psnr_v:46.89 
n:161 mse_avg:1.52 mse_y:1.80 mse_u:0.86 mse_v:1.05 psnr_avg:46.32 psnr_y:45.58 psnr_u:48.79 psnr_v:47.94 
n:162 mse_avg:1.94 mse_y:2.41 mse_u:0.91 mse_v:1.08 psnr_avg:45.26 psnr_y:44.31 psnr_u:48.55 psnr_v:47.80 
n:163 mse_avg:2.08 mse_y:2.61 mse_u:0.94 mse_v:1.12 psnr_avg:44.94 psnr_y:43.96 psnr_u:48.38 psnr_v:47.65 
n:164 mse_avg:2.21 mse_y:2.79 mse_u:0.99 mse_v:1.15 psnr_avg:44.68 psnr_y:43.68 psnr_u:48.19 psnr_v:47.52 
n:165 mse_avg:2.31 mse_y:2.92 mse_u:1.02 mse_v:1.18 psnr_avg:44.49 psnr_y:43.47 psnr_u:48.06 psnr_v:47.43 
n:166 mse_avg:2.42 mse_y:3.08 mse_u:1.04 mse_v:1.20 psnr_avg:44.28 psnr_y:43.25 psnr_u:47.95 psnr_v:47.35 
n:167 mse_avg:2.43 mse_y:3.07 mse_u:1.07 mse_v:1.22 psnr_avg:44.27 psnr_y:43.26 psnr_u:47.83 psnr_v:47.26 
n:168 mse_avg:2.42 mse_y:3.04 mse_u:1.11 mse_v:1.24 psnr_avg:44.30 psnr_y:43.31 psnr_u:47.67 psnr_v:47.18 
