n:86 mse_avg:4.60 mse_y:5.85 mse_u:2.27 mse_v:1.93 psnr_avg:41.50 psnr_y:40.46 psnr_u:44.57 psnr_v:45.27 
n:87 mse_avg:4.60 mse_y:5.84 mse_u:2.31 mse_v:1.93 psnr_avg:41.50 psnr_y:40.47 psnr_u:44.50 psnr_v:45.28 
n:88 mse_avg:4.61 mse_y:5.85 mse_u:2.31 mse_v:1.92 psnr_avg:41.50 psnr_y:40.46 psnr_u:44.49 psnr_v:45.30 
n:89 mse_avg:4.55 mse_y:5.77 mse_u:2.32 mse_v:1.92 psnr_avg:41.55 psnr_y:40.52 psnr_u:44.48 psnr_v:45.29 
n:90 mse_avg:4.55 mse_y:5.76 mse_u:2.31 mse_v:1.96 psnr_avg:41.55 psnr_y:40.53 psnr_u:44.50 psnr_v:45.20 
n:91 mse_avg:4.56 mse_y:5.78 mse_u:2.28 mse_v:1.95 psnr_avg:41.54 psnr_y:40.51 psnr_u:44.55 psnr_v:45.23 
n:92 mse_avg:4.51 mse_y:5.71 mse_u:2.28 mse_v:1.93 psnr_avg:41.59 psnr_y:40.56 psnr_u:44.54 psnr_v:45.27 
n:93 mse_avg:4.53 mse_y:5.74 mse_u:2.26 mse_v:1.93 psnr_avg:41.57 psnr_y:40.54 psnr_u:44.60 psnr_v:45.27 
n:94 mse_avg:4.51 mse_y:5.70 mse_u:2.27 mse_v:1.95 psnr_avg:41.59 psnr_y:40.57 psnr_u:44.57 psnr_v:45.23 
n:95 mse_avg:4.52 mse_y:5.72 mse_u:2.27 mse_v:1.96 psnr_avg:41.58 psnr_y:40.56 psnr_u:44.57 psnr_v:45.21 
n:96 mse_avg:4.52 mse_y:5.70 mse_u:2.30 mse_v:1.99 psnr_avg:41.58 psnr_y:40.57 psnr_u:44.51 psnr_v:45.15 
n:97 mse_avg:4.49 mse_y:5.68 mse_u:2.32 mse_v:1.95 psnr_avg:41.60 psnr_y:40.59 psnr_u:44.48 psnr_v:45.24 
n:98 mse_avg:4.56 mse_y:5.77 mse_u:2.33 mse_v:1.97 psnr_avg:41.54 psnr_y:40.52 psnr_u:44.46 psnr_v:45.18 
n:99 mse_avg:4.56 mse_y:5.76 mse_u:2.34 mse_v:1.96 psnr_avg:41.54 psnr_y:40.53 psnr_u:44.43 psnr_v:45.21 
n:100 mse_avg:4.48 mse_y:5.63 mse_u:2.36 mse_v:1.97 psnr_avg:41.62 psnr_y:40.62 psnr_u:44.41 psnr_v:45.19 
n:101 mse_avg:4.51 mse_y:5.70 mse_u:2.32 mse_v:1.94 psnr_avg:41.59 psnr_y:40.57 psnr_u:44.47 psnr_v:45.25 
n:102 mse_avg:4.43 mse_y:5.58 mse_u:2.31 mse_v:1.94 psnr_avg:41.67 psnr_y:40.67 psnr_u:44.49 psnr_v:45.25 
n:103 mse_avg:4.45 mse_y:5.62 mse_u:2.30 mse_v:1.90 psnr_avg:41.65 psnr_y:40.63 psnr_u:44.51 psnr_v:45.33 
n:104 mse_avg:4.49 mse_y:5.67 mse_u:2.32 mse_v:1.94 psnr_avg:41.61 psnr_y:40.59 psnr_u:44.48 psnr_v:45.26 
n:105 mse_avg:4.47 mse_y:5.63 mse_u:2.35 mse_v:1.96 psnr_avg:41.63 psnr_y:40.62 psnr_u:44.42 psnr_v:45.20 
n:106 mse_avg:4.46 mse_y:5.63 mse_u:2.32 mse_v:1.96 psnr_avg:41.63 psnr_y:40.63 psnr_u:44.48 psnr_v:45.21 
n:107 mse_avg:4.42 mse_y:5.56 mse_u:2.34 mse_v:1.95 psnr_avg:41.67 psnr_y:40.68 psnr_u:44.44 psnr_v:45.23 
n:108 mse_avg:4.46 mse_y:5.63 mse_u:2.30 mse_v:1.94 psnr_avg:41.64 psnr_y:40.63 psnr_u:44.51 psnr_v:45.26 
n:109 mse_avg:4.43 mse_y:5.59 mse_u:2.28 mse_v:1.95 psnr_avg:41.67 psnr_y:40.66 psnr_u:44.56 psnr_v:45.23 
n:110 mse_avg:4.41 mse_y:5.53 mse_u:2.36 mse_v:1.98 psnr_avg:41.69 psnr_y:40.70 psnr_u:44.41 psnr_v:45.17 
n:111 mse_avg:4.44 mse_y:5.56 mse_u:2.41 mse_v:2.00 psnr_avg:41.66 psnr_y:40.68 psnr_u:44.31 psnr_v:45.13 
n:112 mse_avg:4.42 mse_y:5.55 mse_u:2.35 mse_v:1.99 psnr_avg:41.68 psnr_y:40.69 psnr_u:44.42 psnr_v:45.14 
n:113 mse_avg:4.45 mse_y:5.60 mse_u:2.33 mse_v:1.97 psnr_avg:41.65 psnr_y:40.65 psnr_u:44.46 psnr_v:45.19 
n:114 mse_avg:4.39 mse_y:5.50 mse_u:2.40 mse_v:1.94 psnr_avg:41.71 psnr_y:40.73 psnr_u:44.33 psnr_v:45.24 
n:115 mse_avg:4.44 mse_y:5.59 mse_u:2.37 mse_v:1.94 psnr_avg:41.65 psnr_y:40.66 psnr_u:44.39 psnr_v:45.26 
n:116 mse_avg:4.46 mse_y:5.63 mse_u:2.33 mse_v:1.94 psnr_avg:41.63 psnr_y:40.63 psnr_u:44.45 psnr_v:45.25 
n:117 mse_avg:4.42 mse_y:5.55 mse_u:2.36 mse_v:1.93 psnr_avg:41.68 psnr_y:40.69 psnr_u:44.41 psnr_v:45.27 
n:118 mse_avg:4.36 mse_y:5.48 mse_u:2.33 mse_v:1.94 psnr_avg:41.73 psnr_y:40.74 psnr_u:44.46 psnr_v:45.26 
n:119 mse_avg:4.45 mse_y:5.61 mse_u:2.34 mse_v:1.93 psnr_avg:41.65 psnr_y:40.64 psnr_u:44.45 psnr_v:45.27 
n:120 mse_avg:4.49 mse_y:5.67 mse_u:2.33 mse_v:1.93 psnr_avg:41.61 psnr_y:40.59 psnr_u:44.46 psnr_v:45.27 
n:121 mse_avg:4.52 mse_y:5.70 mse_u:2.35 mse_v:1.95 psnr_avg:41.58 psnr_y:40.57 psnr_u:44.43 psnr_v:45.24 
n:122 mse_avg:4.39 mse_y:5.51 mse_u:2.34 mse_v:1.96 psnr_avg:41.70 psnr_y:40.72 psnr_u:44.44 psnr_v:45.20 
n:123 mse_avg:4.41 mse_y:5.54 mse_u:2.33 mse_v:1.95 psnr_avg:41.69 psnr_y:40.69 psnr_u:44.45 psnr_v:45.23 
n:124 mse_avg:4.54 mse_y:5.73 mse_u:2.33 mse_v:1.99 psnr_avg:41.56 psnr_y:40.55 psnr_u:44.46 psnr_v:45.14 
n:125 mse_avg:4.51 mse_y:5.69 mse_u:2.36 mse_v:1.94 psnr_avg:41.59 psnr_y:40.58 psnr_u:44.41 psnr_v:45.25 
n:126 mse_avg:4.45 mse_y:5.60 mse_u:2.33 mse_v:1.97 psnr_avg:41.65 psnr_y:40.65 psnr_u:44.45 psnr_v:45.18 
n:127 mse_avg:4.46 mse_y:5.62 mse_u:2.31 mse_v:1.94 psnr_avg:41.64 psnr_y:40.63 psnr_u:44.49 psnr_v:45.26 
n:128 mse_avg:4.49 mse_y:5.66 mse_u:2.34 mse_v:1.97 psnr_avg:41.61 psnr_y:40.60 psnr_u:44.44 psnr_v:45.18 
n:129 mse_avg:4.48 mse_y:5.65 mse_u:2.32 mse_v:1.94 psnr_avg:41.62 psnr_y:40.61 psnr_u:44.47 psnr_v:45.24 
n:130 mse_avg:4.40 mse_y:5.53 mse_u:2.34 mse_v:1.92 psnr_avg:41.70 psnr_y:40.70 psnr_u:44.43 psnr_v:45.31 
n:131 mse_avg:4.41 mse_y:5.54 mse_u:2.39 mse_v:1.92 psnr_avg:41.68 psnr_y:40.70 psnr_u:44.35 psnr_v:45.29 
n:132 mse_avg:4.44 mse_y:5.58 mse_u:2.38 mse_v:1.93 psnr_avg:41.66 psnr_y:40.66 psnr_u:44.37 psnr_v:45.27 
n:133 mse_avg:4.47 mse_y:5.65 mse_u:2.35 mse_v:1.91 psnr_avg:41.62 psnr_y:40.61 psnr_u:44.42 psnr_v:45.32 
n:134 mse_avg:4.55 mse_y:5.74 mse_u:2.37 mse_v:1.98 psnr_avg:41.55 psnr_y:40.54 psnr_u:44.39 psnr_v:45.16 
